ITItem,RCA,Description
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the below mentioned branch master tables - BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake.pl_coe_mart.PLTB_MASTER @Meetesh Kumar"
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7675656 )
Rapid LR: PL Urban,Master Maintenance,"Hi @Raj Singh4 , Kindly refresh cw auto allocation table."
Rapid LR 2.0,Clarification,Need one help on facebook leads. I had updated master to pass login next event via plcs insert API already working for 3in1 SUPERAPP and WEB Leads but for facebook leads plcs api response id is getting null can you help with RCA and request on it logId 40cf3220-ca14-4445-a4ad-deddd6490f28 c1daf138-d545-4a43-9c6d-9073e12c8b3a 9b49ec78-fc93-48de-ad1c-ca42783f1c2b 3764ea54-5010-4b72-ba69-bf352d508b16 62ff82c3-6ae1-4ecb-b769-cb82e5f6bc8c 606d8791-112f-490a-999f-852f6dda66ef 96f45c2d-b368-49f1-8a21-38462e2011a7 Requesting Request API Body and Reponse
Rapid LR 2.0,Clarification,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master bfl_std_lake.rural_coe_analytics.rsl_pre_mcp_check_master
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7694278 )
Rapid LR 2.0,Master Maintenance,"HI, Please update the master for below mentioned table at @Mohit Agarwal and @Mounika Pokala end- bfl_std_lake . pl_coe_mart . PLTB_MASTER"
Rapid LR 2.0,Data Synching Issue,"Hi @Mohit Agarwal , We have added some columns in masters , kindly add them at your end because when Mounika is checking she is not finding those columns- BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER - MOB_MIN_DIGIT, MOB_MAX_DIGIT and NOMENCLATURE BFL_STD_LAKE.PL_COE_MART.BRANCH_MASTER_SPL - NOMENCLATURE BFL_STD_LAKE.PL_COE_MART.PRIORITY_MASTER_SPL - NOMENCLATURE BFL_STD_LAKE.PL_COE_MART.EVENT_NOMENCLATURE_MASTER (New Table Created) - PRODUCT, DATASET, NOMENCLATURE and IDENTIFIERS BFL_STD_LAKE.PL_COE_MART.RAPIDLR_CAMPAIGN_MASTER - NOMENCLATURE, BRANCH_ID, LOCATION, PREF_LANGUAGE, MOB_MIN_DIGIT and MOB_MAX_DIGIT"
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master for below mentioned table at @Mohit Agarwal and @Mounika Pokala end- BFL_STD_LAKE . PL_COE_MART . RAPIDLR_BRNCH_CHNL_MASTER"
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master bfl_std_lake . rtl_cc .rpl_rapidlr_branch_campaign_master
Rapid LR 2.0,Master Maintenance,"Hi, please update the below mentioned table master @Mohit Agarwal and @Mounika Pokala end- BFL_STD_LAKE . PL_COE_MART . RAPIDLR_LEAD_IDENTIFY_CHANNEL_MASTER"
Rapid LR 2.0,Master Maintenance,Subject: NTB Enabling based on Event Names via NTB Event MASTER Enable current existing NTB flow+Logic for Source/Internalsoure - CONVAIBOT Product - RPPL Event Name - RPPL_FUW_B2C_CONVERT_CONVAIBOT RSL_NO_OFFER_B2C_CONVERT_CONVAIBOT RSL_NO_OFFER_B2C_GACB
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh (7009368 )
Rapid LR 2.0,Clarification,Hi Suraj kindly check attachment are the cases where Branch ID is null from rapid LR to salesone
Rapid LR 2.0,Master Maintenance,"Hi, Please update the below mentioned master table @Mohit Agarwal and @Mounika Pokala End- BFL_STD_LAKE . PL_COE_MART . RAPIDLR_BRNCH_CHNL_MASTER"
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master @Mohit Agarwal and @Mounika Pokala end- bfl_std_lake . plds_biz . dnd_rk_campaign_master_ntb bfl_std_lake . pl_coe_mart . vw_ntb_master"
Rapid LR 2.0,Data Provide,The current table has been updated for AFHO business with addition of event Kindly refresh the below table for syncing. Table name - Lead Lounge @Suraj Bhambure
Rapid LR 2.0,Data Provide,"Hi Team, From the RapidLR to Prospect Staging feeds push pipeline, kindly confirm which fields are being pushed from RapidLR to the Prospect Staging SFDC B2C object. Please review and provide the complete list of fields included in the pipeline. Regards, Nikhil Bhosale"
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7074369 )
Rapid LR 2.0,Clarification,"hi, Please find the attached data , please check why feeds excluded as default campaign not set despite city is maintained in master."
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , As per the business requirement: Where Source = TRUE CALLER and InternalSource = TRUE CALLER And as per the branch master, Flag = TIER 2 All such feeds need to be parked in the specific campaign: BFL_RAPIDLR_PLCST2_DUMMY_PUNE. Please make the necessary changes. Adding @Ajay Sayyam"
Rapid LR 2.0,Master Maintenance,"HI, Please update the master @Mohit Agarwal and @Mounika Pokala end for below mentioned table- BFL_STD_LAKE . PL_COE_MART . RAPIDLR_BRNCH_CHNL_MASTER"
Rapid LR 2.0,Clarification,"Hi , Please check why airtel feeds are not routing in this campaign- BFL_RAPIDLR_AIR_HEM_ATPL_PUNE"
Rapid LR 2.0,Master Maintenance,"Hi, As didcussed with @Mounika Pokala We did the feed routing for PLTB business es per event name , and for noitification the campaign name was BFL_RAPIDLR_PLCS_PLTB_NOT1_HEM_PUNE . Instead of that campaign please use BFL_RAPIDLR_PLCS_PLTB_NOT1_PUNE."
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7078657 )
Rapid LR 2.0,Clarification,Professional Loans Digital MERE Real Time leads not being received in SFDC Kindly check Last lead was received on 22/8/2025 11:02 am (Lead - https://bflsme.lightning.force.com/lightning/r/00QOo00000N9DnEMAV/view )
Rapid LR 2.0,Master Maintenance,Hi Please refresh the tables bfl_std_lake.sme_coe.mbls_campaign_rapidlr
Rapid LR 2.0,IT Requests,"Hi , Please replace the Form ID to Form ID: 1122891109747448 Form Name: Business_Loan_Form_Aug'25"
Rapid LR 2.0,Master Maintenance,bfl_std_lake . rural_coe_analytics .rsl_pre_mcp_check_master Please refresh Rapid LR for above RSL master. CONFIRM first if it is synced at cosmos/adx Refrsh on MONDAY - 11th Aug'25
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure bfl_std_lake.insurance_distribution.pb_campaign_master_rlr in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 8087628 )
Rapid LR 2.0,Master Maintenance,Please refresh following table - bfl_std_lake.mktg_web_wpb.web_app_master_lead_lounge
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the master's for the below-mentioned table. Additionally, we request you to refresh the SFDC Push table, as the Growth_SE business want PLPPL feeds to be routed on the Prospect staging. Accordingly, we have updated the value in the SFDC Push column for PLPPL to ‘YES’ . BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake.pl_coe_mart.PLTB_MASTER bfl_std_lake.pl_coe_mart.vw_ntb_master bfl_std_lake.plds_biz.dnd_rk_campaign_master_ntb FA Master - bfl_std_lake.pl_coe_mart.vw_rapidlr_fa_allocation_master @Meetesh Kumar"
Rapid LR 2.0,Master Maintenance,"HI @Mounika Pokala , Please change the ID as per below for Prospect staging feeds routing from rapid LR identifier campaign PL-SFDC-OWNERID 0052w000009M1hxAAC PL-SFDC-USERROLEMASTER a1h2w0000005amjAAA"
Rapid LR 2.0,Master Maintenance,"Hi @Suraj Bhambure , Please update the master @Mohit Agarwal and @Mounika Pokala end- bfl_std_lake.pl_coe_mart.vw_rapidlr_fa_allocation_master"
Rapid LR 2.0,Master Maintenance,"Hi @Mounika Pokala @Mohit Agarwal , Please update the master's for below mentioned table - BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake.pl_coe_mart.PLTB_MASTER"
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 8087607 )
Rapid LR 2.0,Master Maintenance,"Hi, Please update the below mentioned table master urgently at @Mohit Agarwal and @Mounika Pokala end- bfl_std_lake.pl_coe_mart.vw_rapidlr_fa_allocation_master"
Rapid LR 2.0,Clarification,"Hi, Despite the master refresh , data is not pushing in Prospact staging, kindly check and resolve."
Rapid LR: PL Urban,Master Maintenance,Kindly sync below RAPID LR table in production environment. Table Name: - BFL_STD_LAKE.PL_COE_Mdm.RAPIDLR_LEAD_IDENTIFY_CHANNEL_MASTER
Rapid LR 2.0,Service Request,"Hi @Mounika Pokala , Please update the event master for below mentioned table. bfl_std_lake.pl_coe_mart.vw_rapidlr_dl_event_master"
Rapid LR 2.0,Master Maintenance,"Hi @Mounika Pokala @Mohit Agarwal , Please update the FA Allocation master for below mentioned table- bfl_std_lake.pl_coe_mart.vw_rapidlr_fa_allocation_master"
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master uregently @Mohit Agarwal and @Mounika Pokala end- bfl_std_lake . pl_coe_mart . vw_rapidlr_fa_allocation_master"
Rapid LR 2.0,Master Maintenance,"Hi @Mounika Pokala @Mohit Agarwal , Please update the FA Allocation master for below mentioned table- bfl_std_lake.pl_coe_mart.vw_rapidlr_fa_allocation_master"
Rapid LR 2.0,Clarification,"Hi @Mounika Pokala , As discussed, please check the below sample logs ID, the data are not pushing on prospect stagging of Growth SE business. despite all master's have been updated. logId 09508632-bbb4-45d8-8651-fbe8b044494e a4150cd0-d148-4fef-96f0-1274b8635ca6 1d776a1c-95c9-4ab3-9830-2b5f780a06d9 350115c6-8061-43e2-bdd6-67ec252771c5 34e25689-c10b-4778-9462-ba0efb203925 4cd55576-f2bf-45f8-82d9-bb0fe2a6fd29 009a7b27-7ffb-44a7-be6e-b6282065a7f1 aec1d09b-0f32-401d-9b1a-50700a2d6adf @Meetesh Kumar"
Rapid LR 2.0,Insufficient data,"Hi Suraj, After completing Gold Loan lead journey on app & web, SMS (& WhatsApp) message are not receiving. Please check. Sample: Date : 30.01.2026 Time around : 10:46 am mobile number - 8761849372 Platform: App Date : 03.02.2026 Time around : 10:28 am mobile number - 9423765077 Platform: App"
Rapid LR 2.0,Clarification,"Hi @Mounika Pokala , Please check the below sample cases. These cases are live in PLCS; however, they are incorrectly flagged as NTB and tagged as ‘No Offer Found.’ Kindly refer to the attached file for reference. logId e95076ef-c35f-474f-950b-5166739eda9b 7d37d799-bf18-4413-a0f0-ac46651d6155 b7e160e4-f0b3-415f-9798-93ddd58ff986 e4b75277-02ed-4934-9d42-824139d7f63a 40249f84-7c21-4305-b64b-f2d5053631db fb3b4cdd-73e2-40d4-8ba6-f79863783eb9 @Meetesh Kumar"
